"Concrete Grade","Concrete Source","Qty.","Age","Weight in Kg.","Density in MT/m3","Load in KN","Comp. Strength in %"
"M-15","ACC PLANT","131 M3",28,8.609,2550.81481481481,450,135.762962962963
"M-15","ACC PLANT","131 M3",28,8.613,2552,464.5,135.762962962963
"M-15","ACC PLANT","131 M3",28,8.659,2565.62962962963,460.1,135.762962962963
"M-15","ACC PLANT","50 M3",7,8.245,2442.96296296296,285.4,77.4123456790123
"M-15","ACC PLANT","50 M3",7,8.492,2516.14814814815,252.8,77.4123456790123
"M-15","ACC PLANT","50 M3",7,8.243,2442.37037037037,245.6,77.4123456790123
"M-15","ACC PLANT","50 M3",28,8.469,2509.33333333333,350.6,111.535802469136
"M-15","ACC PLANT","50 M3",28,8.568,2538.66666666667,383.8,111.535802469136
"M-15","ACC PLANT","50 M3",28,8.701,2578.07407407407,394.9,111.535802469136
"M-15","ACC PLANT","50 M3",7,8.345,2472.59259259259,269.8,75.9506172839506
"M-15","ACC PLANT","50 M3",7,8.435,2499.25925925926,268.4,75.9506172839506
"M-15","ACC PLANT","50 M3",7,8.245,2442.96296296296,230.8,75.9506172839506
"M-15","ACC PLANT","50 M3",28,8.634,2558.22222222222,400.3,114.311111111111
"M-15","ACC PLANT","50 M3",28,8.593,2546.07407407407,390.2,114.311111111111
"M-15","ACC PLANT","50 M3",28,8.485,2514.07407407407,366.9,114.311111111111
"M-15","ACC PLANT","36 M3",7,8.51,2521.48148148148,285.4,82.0740740740741
"M-15","ACC PLANT","36 M3",7,8.412,2492.44444444444,268.4,82.0740740740741
"M-15","ACC PLANT","36 M3",7,8.175,2422.22222222222,277.2,82.0740740740741
"M-15","ACC PLANT","36 M3",28,8.801,2607.7037037037,439.8,136.03950617284
"M-15","ACC PLANT","36 M3",28,8.765,2597.03703703704,466.5,136.03950617284
"M-15","ACC PLANT","36 M3",28,8.469,2509.33333333333,471.1,136.03950617284
"M-15","ACC PLANT","36 M3",7,8.435,2499.25925925926,250.4,69.837037037037
"M-15","ACC PLANT","36 M3",7,8.398,2488.2962962963,245.8,69.837037037037
"M-15","ACC PLANT","36 M3",7,8.517,2523.55555555556,210.9,69.837037037037
"M-15","ACC PLANT","36 M3",28,8.512,2522.07407407407,445.3,137.540740740741
"M-15","ACC PLANT","36 M3",28,8.609,2550.81481481481,478.1,137.540740740741
"M-15","ACC PLANT","36 M3",28,8.661,2566.22222222222,469.2,137.540740740741
"M-15","ACC PLANT","32 M3",7,8.459,2506.37037037037,249.2,69.9555555555556
"M-15","ACC PLANT","32 M3",7,8.386,2484.74074074074,221.7,69.9555555555556
"M-15","ACC PLANT","32 M3",7,8.472,2510.22222222222,237.4,69.9555555555556
"M-15","ACC PLANT","32 M3",28,8.793,2605.33333333333,448.6,134.39012345679
"M-15","ACC PLANT","32 M3",28,8.809,2610.07407407407,459.8,134.39012345679
"M-15","ACC PLANT","32 M3",28,8.765,2597.03703703704,452.3,134.39012345679
"M-15","ACC PLANT","32 M3",7,8.571,2539.55555555556,261,72.9777777777778
"M-15","ACC PLANT","32 M3",7,8.321,2465.48148148148,253.7,72.9777777777778
"M-15","ACC PLANT","32 M3",7,8.495,2517.03703703704,224.2,72.9777777777778
"M-15","ACC PLANT","32 M3",28,8.812,2610.96296296296,466.9,138.834567901235
"M-15","ACC PLANT","32 M3",28,8.693,2575.7037037037,476.5,138.834567901235
"M-15","ACC PLANT","32 M3",28,8.581,2542.51851851852,462.3,138.834567901235
"M-15","ACC PLANT","32 M3",7,8.325,2466.66666666667,211.5,68.8691358024691
"M-15","ACC PLANT","32 M3",7,8.517,2523.55555555556,235.7,68.8691358024691
"M-15","ACC PLANT","32 M3",7,8.491,2515.85185185185,250.1,68.8691358024691
"M-15","ACC PLANT","32 M3",28,8.488,2514.96296296296,481.2,140.691358024691
"M-15","ACC PLANT","32 M3",28,8.564,2537.48148148148,469.2,140.691358024691
"M-15","ACC PLANT","32 M3",28,8.605,2549.62962962963,474.1,140.691358024691
"M-15","ACC PLANT","72 M3",7,8.359,2476.74074074074,285.2,78.8641975308642
"M-15","ACC PLANT","72 M3",7,8.512,2522.07407407407,268.6,78.8641975308642
"M-15","ACC PLANT","72 M3",7,8.421,2495.11111111111,244.7,78.8641975308642
"M-15","ACC PLANT","72 M3",28,8.585,2543.7037037037,459.1,136.711111111111
"M-15","ACC PLANT","72 M3",28,8.698,2577.18518518519,463.9,136.711111111111
"M-15","ACC PLANT","72 M3",28,8.772,2599.11111111111,461.2,136.711111111111
"M-15","ACC PLANT","72 M3",7,8.421,2495.11111111111,277.3,78.6666666666667
"M-15","ACC PLANT","72 M3",7,8.394,2487.11111111111,268.4,78.6666666666667
"M-15","ACC PLANT","72 M3",7,8.452,2504.2962962963,250.8,78.6666666666667
"M-15","ACC PLANT","72 M3",28,8.821,2613.62962962963,481.5,139.940740740741
"M-15","ACC PLANT","72 M3",28,8.645,2561.48148148148,470.2,139.940740740741
"M-15","ACC PLANT","72 M3",28,8.465,2508.14814814815,465.2,139.940740740741
"M-15","ACC PLANT","27 M3",7,8.616,2552.88888888889,269.8,74.7456790123457
"M-15","ACC PLANT","27 M3",7,8.527,2526.51851851852,235.4,74.7456790123457
"M-15","ACC PLANT","27 M3",7,8.317,2464.2962962963,251.6,74.7456790123457
"M-15","ACC PLANT","27 M3",28,8.705,2579.25925925926,469.3,140.572839506173
"M-15","ACC PLANT","27 M3",28,8.695,2576.2962962963,480.1,140.572839506173
"M-15","ACC PLANT","27 M3",28,8.543,2531.25925925926,473.9,140.572839506173
"M-15","ACC PLANT","27 M3",7,8.394,2487.11111111111,270.4,77.7679012345679
"M-15","ACC PLANT","27 M3",7,8.502,2519.11111111111,253.3,77.7679012345679
"M-15","ACC PLANT","27 M3",7,8.471,2509.92592592593,263.7,77.7679012345679
"M-15","ACC PLANT","27 M3",28,8.449,2503.40740740741,430.5,129.076543209877
"M-15","ACC PLANT","27 M3",28,8.605,2549.62962962963,451.2,129.076543209877
"M-15","ACC PLANT","27 M3",28,8.713,2581.62962962963,425.2,129.076543209877
"M-15","ACC PLANT","38 M3",7,8.372,2480.59259259259,229.5,70.2617283950617
"M-15","ACC PLANT","38 M3",7,8.05,2385.18518518519,235.1,70.2617283950617
"M-15","ACC PLANT","38 M3",7,8.215,2434.07407407407,246.8,70.2617283950617
"M-15","ACC PLANT","38 M3",28,8.75,2592.59259259259,485.3,140.345679012346
"M-15","ACC PLANT","38 M3",28,8.723,2584.59259259259,464.6,140.345679012346
"M-15","ACC PLANT","38 M3",28,8.709,2580.44444444444,471.1,140.345679012346
"M-15","ACC PLANT","38 M3",7,8.192,2427.25925925926,249.9,71.7432098765432
"M-15","ACC PLANT","38 M3",7,8.253,2445.33333333333,220.1,71.7432098765432
"M-15","ACC PLANT","38 M3",7,8.112,2403.55555555556,256.4,71.7432098765432
"M-15","ACC PLANT","38 M3",28,8.81,2610.37037037037,415.1,130.014814814815
"M-15","ACC PLANT","38 M3",28,8.675,2570.37037037037,436.2,130.014814814815
"M-15","ACC PLANT","38 M3",28,8.683,2572.74074074074,465.1,130.014814814815
"M-15","ACC PLANT","17 M3",7,8.296,2458.07407407407,235.5,69.5308641975309
"M-15","ACC PLANT","17 M3",7,8.401,2489.18518518519,225.6,69.5308641975309
"M-15","ACC PLANT","17 M3",7,8.319,2464.88888888889,242.9,69.5308641975309
"M-15","ACC PLANT","17 M3",28,8.595,2546.66666666667,481.6,137.827160493827
"M-15","ACC PLANT","17 M3",28,8.705,2579.25925925926,463.5,137.827160493827
"M-15","ACC PLANT","17 M3",28,8.612,2551.7037037037,450.4,137.827160493827
"M-15","ACC PLANT","17 M3",7,8.109,2402.66666666667,251.2,74.8246913580247
"M-15","ACC PLANT","17 M3",7,8.119,2405.62962962963,256.6,74.8246913580247
"M-15","ACC PLANT","17 M3",7,8.205,2431.11111111111,249.8,74.8246913580247
"M-15","ACC PLANT","17 M3",28,8.533,2528.2962962963,479.2,141.965432098765
"M-15","ACC PLANT","17 M3",28,8.611,2551.40740740741,489.9,141.965432098765
"M-15","ACC PLANT","17 M3",28,8.699,2577.48148148148,468.3,141.965432098765
"M-40","ACC PLANT","22 M3",28,8.754,2593.77777777778,1030.6,124.618518518518
"M-40","ACC PLANT","22 M3",28,8.795,2605.92592592593,1091.8,124.618518518518
"M-40","ACC PLANT","22 M3",28,8.823,2614.22222222222,1242.3,124.618518518518
"M-40","ACC PLANT","22 M3",7,8.454,2504.88888888889,802.3,89.088888888889
"M-40","ACC PLANT","22 M3",7,8.501,2518.81481481481,812.5,89.088888888889
"M-40","ACC PLANT","22 M3",7,8.631,2557.33333333333,790.6,89.088888888889
"M-40","ACC PLANT","22 M3",28,8.759,2595.25925925926,1309.5,128.359259259259
"M-40","ACC PLANT","22 M3",28,8.61,2551.11111111111,1050.6,128.359259259259
"M-40","ACC PLANT","22 M3",28,8.693,2575.7037037037,1105.6,128.359259259259
"M-40","ACC PLANT","22 M3",7,8.459,2506.37037037037,805,88.7037037037038
"M-40","ACC PLANT","22 M3",7,8.694,2576,810,88.7037037037038
"M-40","ACC PLANT","22 M3",7,8.789,2604.14814814815,780,88.7037037037038
"M-40","ACC PLANT","22 M3",28,8.584,2543.40740740741,1203.5,126.222222222222
"M-40","ACC PLANT","22 M3",28,8.689,2574.51851851852,1108.6,126.222222222222
"M-40","ACC PLANT","22 M3",28,8.795,2605.92592592593,1095.9,126.222222222222
"M-15","ACC PLANT","45 M3",7,8.554,2534.51851851852,221.5,68.7703703703707
