"Concrete Grade","Concrete Source","Qty.","Age","Weight in Kg.","Density in MT/m3","Load in KN","Comp. Strength in %"
"M-15","ACC PLANT","50M3",28,8.53,2527.40740740741,499.3,150.972839506173
"M-15","ACC PLANT","25M3",7,8.426,2496.59259259259,225.1,77.1654320987654
"M-15","ACC PLANT","25M3",7,8.529,2527.11111111111,251.2,77.1654320987654
"M-15","ACC PLANT","25M3",7,8.352,2474.66666666667,305,77.1654320987654
"M-15","ACC PLANT","25M3",28,8.275,2451.85185185185,415.2,128.098765432099
"M-15","ACC PLANT","25M3",28,8.265,2448.88888888889,452.1,128.098765432099
"M-15","ACC PLANT","25M3",28,8.375,2481.48148148148,429.7,128.098765432099
"M-15","ACC PLANT","25M3",7,8.571,2539.55555555556,261,73.3333333333333
"M-15","ACC PLANT","25M3",7,8.341,2471.40740740741,235.7,73.3333333333333
"M-15","ACC PLANT","25M3",7,8.495,2517.03703703704,245.8,73.3333333333333
"M-15","ACC PLANT","25M3",28,8.402,2489.48148148148,480,129.471604938272
"M-15","ACC PLANT","25M3",28,8.33,2468.14814814815,395.6,129.471604938272
"M-15","ACC PLANT","25M3",28,8.34,2471.11111111111,435.3,129.471604938272
"M-15","ACC PLANT","17M3",7,8.325,2466.66666666667,277.3,78.6666666666667
"M-15","ACC PLANT","17M3",7,8.517,2523.55555555556,268.4,78.6666666666667
"M-15","ACC PLANT","17M3",7,8.491,2515.85185185185,250.8,78.6666666666667
"M-15","ACC PLANT","17M3",28,8.525,2525.92592592593,448.8,138.38024691358
"M-15","ACC PLANT","17M3",28,8.47,2509.62962962963,517.1,138.38024691358
"M-15","ACC PLANT","17M3",28,8.385,2484.44444444444,435.2,138.38024691358
"M-15","ACC PLANT","17M3",7,8.245,2442.96296296296,280.4,72.7703703703704
"M-15","ACC PLANT","17M3",7,8.492,2516.14814814815,210.9,72.7703703703704
"M-15","ACC PLANT","17M3",7,8.243,2442.37037037037,245.5,72.7703703703704
"M-15","ACC PLANT","17M3",28,8.329,2467.85185185185,461.9,144.908641975309
"M-15","ACC PLANT","17M3",28,8.735,2588.14814814815,532.1,144.908641975309
"M-15","ACC PLANT","17M3",28,8.625,2555.55555555556,473.2,144.908641975309
"M-15","ACC PLANT","33M3",7,8.485,2514.07407407407,320.8,83.2987654320988
"M-15","ACC PLANT","33M3",7,8.674,2570.07407407407,307.2,83.2987654320988
"M-15","ACC PLANT","33M3",7,8.665,2567.40740740741,215.4,83.2987654320988
"M-15","ACC PLANT","33M3",28,8.429,2497.48148148148,532.2,147.565432098765
"M-15","ACC PLANT","33M3",28,8.611,2551.40740740741,543.7,147.565432098765
"M-15","ACC PLANT","33M3",28,8.621,2554.37037037037,418.2,147.565432098765
"M-15","ACC PLANT","33M3",7,8.549,2533.03703703704,251.7,84.1777777777778
"M-15","ACC PLANT","33M3",7,8.699,2577.48148148148,269.4,84.1777777777778
"M-15","ACC PLANT","33M3",7,8.583,2543.11111111111,331.2,84.1777777777778
"M-15","ACC PLANT","33M3",28,8.592,2545.77777777778,463,141.925925925926
"M-15","ACC PLANT","33M3",28,8.657,2565.03703703704,527,141.925925925926
"M-15","ACC PLANT","33M3",28,8.315,2463.7037037037,447,141.925925925926
"M-15","ACC PLANT","28M3",7,8.612,2551.7037037037,257.2,71.5851851851852
"M-15","ACC PLANT","28M3",7,8.593,2546.07407407407,227.1,71.5851851851852
"M-15","ACC PLANT","28M3",7,8.458,2506.07407407407,240.5,71.5851851851852
"M-15","ACC PLANT","28M3",28,8.055,2386.66666666667,496.4,142.847407407407
"M-15","ACC PLANT","28M3",28,8.351,2474.37037037037,514.23,142.847407407407
"M-15","ACC PLANT","28M3",28,8.429,2497.48148148148,435.7,142.847407407407
"M-15","ACC PLANT","28M3",7,8.484,2513.77777777778,271.5,76.0691358024691
"M-15","ACC PLANT","28M3",7,8.563,2537.18518518519,269.4,76.0691358024691
"M-15","ACC PLANT","28M3",7,8.612,2551.7037037037,229.3,76.0691358024691
"M-15","ACC PLANT","28M3",28,8.315,2463.7037037037,482.9,145.886419753086
"M-15","ACC PLANT","28M3",28,8.42,2494.81481481481,473.1,145.886419753086
"M-15","ACC PLANT","28M3",28,8.51,2521.48148148148,521.1,145.886419753086
"M-15","ACC PLANT","29.5M3",7,8.586,2544,268.5,82.8740740740741
"M-15","ACC PLANT","29.5M3",7,8.461,2506.96296296296,290.1,82.8740740740741
"M-15","ACC PLANT","29.5M3",7,8.445,2502.22222222222,280.5,82.8740740740741
"M-15","ACC PLANT","29.5M3",28,8.312,2462.81481481481,442.9,135.841975308642
"M-15","ACC PLANT","29.5M3",28,8.432,2498.37037037037,450.3,135.841975308642
"M-15","ACC PLANT","29.5M3",28,8.381,2483.25925925926,482.2,135.841975308642
"M-15","ACC PLANT","29.5M3",7,8.489,2515.25925925926,273.6,80.9185185185185
"M-15","ACC PLANT","29.5M3",7,8.561,2536.59259259259,319.2,80.9185185185185
"M-15","ACC PLANT","29.5M3",7,8.708,2580.14814814815,226.5,80.9185185185185
"M-15","ACC PLANT","29.5M3",28,8.501,2518.81481481481,504.3,135.348148148148
"M-15","ACC PLANT","29.5M3",28,8.392,2486.51851851852,426.6,135.348148148148
"M-15","ACC PLANT","29.5M3",28,8.405,2490.37037037037,439.5,135.348148148148
"M-50","ACC PLANT","178M3",7,8.525,2525.92592592593,764,67.4725925925926
"M-50","ACC PLANT","178M3",7,8.585,2543.7037037037,777,67.4725925925926
"M-50","ACC PLANT","178M3",7,8.56,2536.2962962963,736.2,67.4725925925926
"M-50","ACC PLANT","178M3",28,8.49,2515.55555555556,1263.4,118.082962962963
"M-50","ACC PLANT","178M3",28,8.575,2540.74074074074,1307.9,118.082962962963
"M-50","ACC PLANT","178M3",28,8.52,2524.44444444444,1414,118.082962962963
"M-50","ACC PLANT","178M3",7,8.525,2525.92592592593,901.4,74.9066666666666
"M-50","ACC PLANT","178M3",7,8.535,2528.88888888889,826.5,74.9066666666666
"M-50","ACC PLANT","178M3",7,8.628,2556.44444444444,800.2,74.9066666666666
"M-50","ACC PLANT","178M3",28,8.52,2524.44444444444,1239,122.856296296296
"M-50","ACC PLANT","178M3",28,8.58,2542.22222222222,1373.3,122.856296296296
"M-50","ACC PLANT","178M3",28,8.55,2533.33333333333,1534.1,122.856296296296
"M-50","ACC PLANT","178M3",7,8.59,2545.18518518519,1033,77.2207407407408
"M-50","ACC PLANT","178M3",7,8.621,2554.37037037037,712.3,77.2207407407408
"M-50","ACC PLANT","178M3",7,8.7,2577.77777777778,860.9,77.2207407407408
"M-50","ACC PLANT","178M3",28,8.62,2554.07407407407,1547.9,119.528888888889
"M-50","ACC PLANT","178M3",28,8.555,2534.81481481481,1276.1,119.528888888889
"M-50","ACC PLANT","178M3",28,8.72,2583.7037037037,1210.1,119.528888888889
"M-50","ACC PLANT","178M3",7,8.592,2545.77777777778,765.3,64.6222222222222
"M-50","ACC PLANT","178M3",7,8.645,2561.48148148148,730.2,64.6222222222222
"M-50","ACC PLANT","178M3",7,8.65,2562.96296296296,685.5,64.6222222222222
"M-50","ACC PLANT","178M3",28,8.63,2557.03703703704,1452.8,124.059259259259
"M-50","ACC PLANT","178M3",28,8.76,2595.55555555556,1408.6,124.059259259259
"M-50","ACC PLANT","178M3",28,8.61,2551.11111111111,1325.6,124.059259259259
"M-50","ACC PLANT","178M3",7,8.44,2500.74074074074,665.7,59.8192592592592
"M-50","ACC PLANT","178M3",7,8.57,2539.25925925926,770.7,59.8192592592592
"M-50","ACC PLANT","178M3",7,8.51,2521.48148148148,582.5,59.8192592592592
"M-50","ACC PLANT","178M3",28,8.66,2565,1287.8,108.307407407407
"M-50","ACC PLANT","178M3",28,8.86,2625.18518518519,1046,108.307407407407
"M-50","ACC PLANT","178M3",28,8.76,2595.55555555556,1321.7,108.307407407407
"M-50","ACC PLANT","178M3",7,8.497,2517.62962962963,786.2,66.8118518518518
"M-50","ACC PLANT","178M3",7,8.51,2521.48148148148,690.5,66.8118518518518
"M-50","ACC PLANT","178M3",7,8.61,2551.11111111111,778.2,66.8118518518518
"M-50","ACC PLANT","178M3",28,8.59,2545.18518518519,1159.7,112.242962962963
"M-50","ACC PLANT","178M3",28,8.46,2506.66666666667,1305.2,112.242962962963
"M-50","ACC PLANT","178M3",28,8.54,2530.37037037037,1323.3,112.242962962963
"M-50","ACC PLANT","178M3",7,8.705,2579.25925925926,465.7,45.3274074074074
"M-50","ACC PLANT","178M3",7,8.629,2556.74074074074,495.2,45.3274074074074
"M-50","ACC PLANT","178M3",7,8.72,2583.7037037037,568.9,45.3274074074074
"M-50","ACC PLANT","178M3",28,8.62,2554.07407407407,1262,114.648888888889
"M-50","ACC PLANT","178M3",28,8.65,2562.96296296296,1311.4,114.648888888889
"M-50","ACC PLANT","178M3",28,8.67,2568.88888888889,1296,114.648888888889
"M-15","ACC PLANT","11M3",7,8.788,2603.85185185185,310.1,88.958024691358
"M-15","ACC PLANT","11M3",7,8.539,2530.07407407407,302.1,88.958024691358
"M-15","ACC PLANT","11M3",7,8.645,2561.48148148148,288.5,88.958024691358
"M-15","ACC PLANT","11M3",28,8.341,2471.40740740741,483.2,144.730864197531
"M-15","ACC PLANT","11M3",28,8.55,2533.33333333333,471.9,144.730864197531
"M-15","ACC PLANT","11M3",28,8.47,2509.62962962963,510.3,144.730864197531
"M-15","ACC PLANT","11M3",7,8.392,2486.51851851852,221.1,88.3753086419753
"M-15","ACC PLANT","11M3",7,8.651,2563.25925925926,352.3,88.3753086419753
"M-15","ACC PLANT","11M3",7,8.529,2527.11111111111,321.4,88.3753086419753
"M-15","ACC PLANT","11M3",28,8.05,2385.18518518519,501.7,140.918518518519
"M-15","ACC PLANT","11M3",28,8.74,2589.62962962963,492.3,140.918518518519
"M-15","ACC PLANT","11M3",28,8.12,2405.92592592593,432.8,140.918518518519
"M-15","ACC PLANT","22M3",7,8.429,2497.48148148148,279.2,83.7925925925926
"M-15","ACC PLANT","22M3",7,8.351,2474.37037037037,283.9,83.7925925925926
"M-15","ACC PLANT","22M3",7,8.47,2509.62962962963,285.3,83.7925925925926
"M-15","ACC PLANT","22M3",28,8.625,2555.55555555556,442.4,128.78024691358
"M-15","ACC PLANT","22M3",28,8.405,2490,460.2,128.78024691358
"M-15","ACC PLANT","22M3",28,8.525,2525.92592592593,401.3,128.78024691358
"M-15","ACC PLANT","22M3",7,8.419,2494.51851851852,229.4,73.0666666666667
"M-15","ACC PLANT","22M3",7,8.32,2465.18518518519,243.1,73.0666666666667
"M-15","ACC PLANT","22M3",7,8.219,2435.25925925926,267.3,73.0666666666667
"M-15","ACC PLANT","22M3",28,8.495,2517.03703703704,458.3,134.696296296296
"M-15","ACC PLANT","22M3",28,8.435,2499.25925925926,450.2,134.696296296296
"M-15","ACC PLANT","22M3",28,8.395,2487.40740740741,455.3,134.696296296296
"M-15","ACC PLANT","16M3",7,8.24,2441.48148148148,286.6,80.8098765432099
"M-15","ACC PLANT","16M3",7,8.295,2457.77777777778,255.3,80.8098765432099
"M-15","ACC PLANT","16M3",7,8.27,2450.37037037037,276.3,80.8098765432099
"M-15","ACC PLANT","16M3",28,8.515,2522.96296296296,583.9,161.817283950617
"M-15","ACC PLANT","16M3",28,8.375,2481.48148148148,513.3,161.817283950617
"M-15","ACC PLANT","16M3",28,8.475,2511.11111111111,541.2,161.817283950617
"M-15","ACC PLANT","16M3",7,8.375,2481.48148148148,308.2,84.7703703703704
"M-15","ACC PLANT","16M3",7,8.48,2512.59259259259,264.8,84.7703703703704
"M-15","ACC PLANT","16M3",7,8.435,2499.25925925926,285.3,84.7703703703704
"M-15","ACC PLANT","16M3",28,8.54,2530.37037037037,583.9,165.669135802469
"M-15","ACC PLANT","16M3",28,8.46,2506.66666666667,513.3,165.669135802469
"M-15","ACC PLANT","16M3",28,8.493,2516.44444444444,580.2,165.669135802469
"M-50","ACC PLANT","155M3",7,8.1,2400,933.2,75.8340740740741
"M-50","ACC PLANT","155M3",7,8.59,2545.18518518519,806.1,75.8340740740741
"M-50","ACC PLANT","155M3",7,8.63,2557.03703703704,820.1,75.8340740740741
"M-50","ACC PLANT","155M3",28,8.485,2514.07407407407,1283.9,124.047407407407
"M-50","ACC PLANT","155M3",28,8.52,2524.44444444444,1390.7,124.047407407407
"M-50","ACC PLANT","155M3",28,8.63,2557.03703703704,1512,124.047407407407
"M-50","ACC PLANT","155M3",7,8.64,2560,870.5,82.1896296296296
"M-50","ACC PLANT","155M3",7,8.59,2545.18518518519,964.3,82.1896296296296
"M-50","ACC PLANT","155M3",7,8.621,2554.37037037037,939.1,82.1896296296296
"M-50","ACC PLANT","155M3",28,8.51,2521.48148148148,1232.7,94.6
"M-50","ACC PLANT","155M3",28,8.6,2548.14814814815,971.9,94.6
"M-50","ACC PLANT","155M3",28,8.63,2557.03703703704,989.9,94.6
"M-50","ACC PLANT","155M3",7,8.55,2533.33333333333,1009.1,85.8014814814815
"M-50","ACC PLANT","155M3",7,8.527,2526.51851851852,937.5,85.8014814814815
"M-50","ACC PLANT","155M3",7,8.621,2554.37037037037,949.2,85.8014814814815
"M-50","ACC PLANT","155M3",28,8.74,2589.62962962963,1516.8,120.705185185185
"M-50","ACC PLANT","155M3",28,8.57,2539.25925925926,1311.5,120.705185185185
"M-50","ACC PLANT","155M3",28,8.64,2560,1245.5,120.705185185185
"M-50","ACC PLANT","155M3",7,8.535,2528.88888888889,991.2,87.7748148148148
"M-50","ACC PLANT","155M3",7,8.545,2531.85185185185,983,87.7748148148148
"M-50","ACC PLANT","155M3",7,8.61,2551.11111111111,988.2,87.7748148148148
"M-50","ACC PLANT","155M3",28,8.705,2579.25925925926,1458.8,120.272592592593
"M-50","ACC PLANT","155M3",28,8.65,2562.96296296296,1274.9,120.272592592593
"M-50","ACC PLANT","155M3",28,8.38,2482.96296296296,1325.5,120.272592592593
"M-50","ACC PLANT","155M3",7,8.42,2494.81481481481,987.7,88.317037037037
"M-50","ACC PLANT","155M3",7,8.559,2536,910.2,88.317037037037
"M-50","ACC PLANT","155M3",7,8.66,2565.92592592593,1082.8,88.317037037037
"M-50","ACC PLANT","155M3",28,8.47,2509.62962962963,1233.5,138.965925925926
"M-50","ACC PLANT","155M3",28,8.795,1260.5,1760.8,138.965925925926
"M-50","ACC PLANT","155M3",28,8.67,2568.88888888889,1695.8,138.965925925926
"M-50","ACC PLANT","155M3",7,8.6,2548.14814814815,1195.6,100.613333333333
"M-50","ACC PLANT","155M3",7,8.585,2543.7037037037,1082.4,100.613333333333
"M-50","ACC PLANT","155M3",7,8.805,2608.88888888889,1117.7,100.613333333333
"M-50","ACC PLANT","155M3",28,8.735,2588.14814814815,1598.8,134.906666666667
"M-50","ACC PLANT","155M3",28,8.86,2625.18518518519,1441.3,134.906666666667
"M-50","ACC PLANT","155M3",28,8.685,2573.33333333333,1513,134.906666666667
"M-50","ACC PLANT","155M3",7,8.67,2568.88888888889,985.7,91.1614814814815
"M-50","ACC PLANT","155M3",7,8.85,2622.22222222222,1181.1,91.1614814814815
"M-50","ACC PLANT","155M3",7,8.525,2525.92592592593,909.9,91.1614814814815
"M-50","ACC PLANT","155M3",28,8.63,2557.03703703704,1210.9,119.78962962963
"M-50","ACC PLANT","155M3",28,8.79,2604.44444444444,1527.3,119.78962962963
"M-50","ACC PLANT","155M3",28,8.47,2509.62962962963,1304.7,119.78962962963
"M-50","ACC PLANT","40M3",7,8.505,2520,935.9,82.6992592592593
"M-50","ACC PLANT","40M3",7,8.55,2533.33333333333,909.9,82.6992592592593
"M-50","ACC PLANT","40M3",7,8.521,2524.74074074074,945.3,82.6992592592593
"M-50","ACC PLANT","40M3",28,8.48,2512.59259259259,1180.3,114.082962962963
"M-50","ACC PLANT","40M3",28,8.52,2524.44444444444,1409.7,114.082962962963
"M-50","ACC PLANT","40M3",28,8.57,2539.25925925926,1260.3,114.082962962963
"M-50","ACC PLANT","40M3",7,8.601,2548.44444444444,778.2,83.4933333333333
"M-50","ACC PLANT","40M3",7,8.396,2487.7037037037,994,83.4933333333333
"M-50","ACC PLANT","40M3",7,8.41,2491.85185185185,1045.7,83.4933333333333
"M-50","ACC PLANT","40M3",28,8.72,2583.7037037037,1451.9,125.780740740741
"M-50","ACC PLANT","40M3",28,8.645,2561.48148148148,1372.6,125.780740740741
"M-50","ACC PLANT","40M3",28,8.78,2601.48148148148,1420.6,125.780740740741
"M-50","ACC PLANT","40M3",7,8.526,2526.22222222222,973.4,84.4444444444444
"M-50","ACC PLANT","40M3",7,8.483,2513.48148148148,961,84.4444444444444
"M-50","ACC PLANT","40M3",7,8.529,2527.11111111111,915.6,84.4444444444444
"M-50","ACC PLANT","40M3",28,8.315,2463.7037037037,1271,118.311111111111
"M-50","ACC PLANT","40M3",28,8.33,2468.14814814815,1371.6,118.311111111111
"M-50","ACC PLANT","40M3",28,8.64,2560,1350.4,118.311111111111
"M-50","ACC PLANT","25M3",7,8.55,2533.33333333333,1051,94.1451851851852
"M-50","ACC PLANT","25M3",7,8.532,2528,1142,94.1451851851852
"M-50","ACC PLANT","25M3",7,8.632,2557.62962962963,984.4,94.1451851851852
"M-50","ACC PLANT","25M3",28,8.78,2601.48148148148,1776.9,137.357037037037
"M-50","ACC PLANT","25M3",28,8.7,2577.77777777778,1319.6,137.357037037037
"M-50","ACC PLANT","25M3",28,8.69,2574.81481481481,1539.3,137.357037037037
"M-50","ACC PLANT","25M3",7,8.493,2516.44444444444,1366.6,109.425185185185
"M-50","ACC PLANT","25M3",7,8.733,2587.55555555556,1213.5,109.425185185185
"M-50","ACC PLANT","25M3",7,8.558,2535.7037037037,1113,109.425185185185
"M-50","ACC PLANT","25M3",28,8.64,2560,1576,133.493333333333
"M-50","ACC PLANT","25M3",28,8.54,2530.37037037037,1645,133.493333333333
"M-50","ACC PLANT","25M3",28,8.41,2491.85185185185,1284.4,133.493333333333
"M-50","ACC PLANT","25M3",7,8.592,2545.77777777778,1003.2,101.511111111111
"M-50","ACC PLANT","25M3",7,8.631,2557.33333333333,1309.8,101.511111111111
"M-50","ACC PLANT","25M3",7,8.691,2575.11111111111,1113,101.511111111111
"M-50","ACC PLANT","25M3",28,8.615,2552.59259259259,1472.3,134.604444444444
"M-50","ACC PLANT","25M3",28,8.665,2567.40740740741,1655.5,134.604444444444
"M-50","ACC PLANT","25M3",28,8.79,2604.44444444444,1415.1,134.604444444444
"M-50","ACC PLANT","104M3",7,8.388,2485.33333333333,1109.7,90.1333333333333
"M-50","ACC PLANT","104M3",7,8.626,2555.85185185185,1010.6,90.1333333333333
"M-50","ACC PLANT","104M3",7,8.68,2571.85185185185,921.7,90.1333333333333
"M-50","ACC PLANT","104M3",28,8.66,2565.92592592593,1080.9,100.112592592593
"M-50","ACC PLANT","104M3",28,8.59,2545.18518518519,1288.4,100.112592592593
"M-50","ACC PLANT","104M3",28,8.595,2546.66666666667,1009.5,100.112592592593
"M-50","ACC PLANT","104M3",7,8.7,2577.77777777778,1143.8,30.9659259259259
"M-50","ACC PLANT","104M3",7,8.722,2584.2962962963,1036.8,30.9659259259259
"M-50","ACC PLANT","104M3",7,8.63,2557.03703703704,954.7,30.9659259259259
"M-50","ACC PLANT","104M3",28,8.88,2631.11111111111,1347.7,38.7723456790123
"M-50","ACC PLANT","104M3",28,8.695,2576.2962962963,1346.7,38.7723456790123
"M-50","ACC PLANT","104M3",28,8.765,2597.03703703704,1231.3,38.7723456790123
"M-50","ACC PLANT","104M3",7,8.4,2488.88888888889,1171.6,89.5703703703704
"M-50","ACC PLANT","104M3",7,8.5,2518.51851851852,942.4,89.5703703703704
"M-50","ACC PLANT","104M3",7,8.75,2592.59259259259,909,89.5703703703704
"M-50","ACC PLANT","104M3",28,8.57,2539.25925925926,964.6,104.714074074074
"M-50","ACC PLANT","104M3",28,8.685,2573.33333333333,1216,104.714074074074
"M-50","ACC PLANT","104M3",28,8.72,2583.7037037037,1353.5,104.714074074074
"M-50","ACC PLANT","104M3",7,8.701,2578.07407407407,1086.6,95.1585185185185
"M-50","ACC PLANT","104M3",7,8.5,2518.51851851852,1109.2,95.1585185185185
"M-50","ACC PLANT","104M3",7,8.62,2554.07407407407,1015.8,95.1585185185185
"M-50","ACC PLANT","104M3",28,8.62,2554.07407407407,1120.9,102.856296296296
"M-50","ACC PLANT","104M3",28,8.545,2532,1082.2,102.856296296296
"M-50","ACC PLANT","104M3",28,8.85,2622.22222222222,1268.3,102.856296296296
"M-50","ACC PLANT","104M3",28,8.78,2601.48148148148,1094,96.2133333333333
"M-50","ACC PLANT","104M3",28,8.77,2598.51851851852,947.2,96.2133333333333
"M-50","ACC PLANT","104M3",28,8.635,2558.51851851852,1206,96.2133333333333
"M-50","ACC PLANT","192M3",7,8.592,2545.77777777778,1003.2,101.511111111111
"M-50","ACC PLANT","192M3",7,8.631,2557.33333333333,1309.8,101.511111111111
"M-50","ACC PLANT","192M3",7,8.691,2575.11111111111,1113,101.511111111111
"M-50","ACC PLANT","192M3",28,8.58,2542.22222222222,1393.3,119.472592592593
"M-50","ACC PLANT","192M3",28,8.645,2561.48148148148,1126.9,119.472592592593
"M-50","ACC PLANT","192M3",28,8.625,2555.55555555556,1512,119.472592592593
"M-50","ACC PLANT","192M3",7,8.51,2521.48148148148,1153.6,107.86962962963
"M-50","ACC PLANT","192M3",7,8.43,2497.77777777778,1203.5,107.86962962963
"M-50","ACC PLANT","192M3",7,8.46,2506.66666666667,1283.5,107.86962962963
"M-50","ACC PLANT","192M3",28,8.475,2511.11111111111,1162.7,121.057777777778
"M-50","ACC PLANT","192M3",28,8.43,2497.77777777778,1361.9,121.057777777778
"M-50","ACC PLANT","192M3",28,8.495,2517.03703703704,1561.1,121.057777777778
"M-50","ACC PLANT","192M3",7,8.445,2502.22222222222,1198.1,90.6518518518518
"M-50","ACC PLANT","192M3",7,8.485,2514.07407407407,872,90.6518518518518
"M-50","ACC PLANT","192M3",7,8.435,2499.25925925926,989.4,90.6518518518518
"M-50","ACC PLANT","192M3",28,8.485,2514.07407407407,1407.7,114.948148148148
"M-50","ACC PLANT","192M3",28,8.57,2539.25925925926,1315.7,114.948148148148
"M-50","ACC PLANT","192M3",28,8.48,2512.59259259259,1156.1,114.948148148148
"M-50","ACC PLANT","192M3",8,8.615,2552.59259259259,1009.1,92.8
"M-50","ACC PLANT","192M3",8,8.54,2530.37037037037,1239.7,92.8
"M-50","ACC PLANT","192M3",8,8.39,2485.92592592593,883.2,92.8
"M-50","ACC PLANT","192M3",28,8.585,2543.7037037037,1269,123.863703703704
"M-50","ACC PLANT","192M3",28,8.57,2539.25925925926,1353.9,123.863703703704
"M-50","ACC PLANT","192M3",28,8.545,2531.85185185185,1557.5,123.863703703704
"M-50","ACC PLANT","192M3",7,8.525,2525.92592592593,1283.4,96.0296296296296
"M-50","ACC PLANT","192M3",7,8.64,2560,770.5,96.0296296296296
"M-50","ACC PLANT","192M3",7,8.55,2533.33333333333,1187.1,96.0296296296296
"M-50","ACC PLANT","192M3",28,8.6,2548.14814814815,1400.2,116.862222222222
"M-50","ACC PLANT","192M3",28,8.7,2577.77777777778,1215.7,116.862222222222
"M-50","ACC PLANT","192M3",28,8.58,2542.22222222222,1328.2,116.862222222222
"M-50","ACC PLANT","192M3",7,8.585,2543.7037037037,1126.9,96.1422222222222
"M-50","ACC PLANT","192M3",7,8.33,2468.14814814815,1137.9,96.1422222222222
"M-50","ACC PLANT","192M3",7,8.385,2484.44444444444,980,96.1422222222222
"M-50","ACC PLANT","192M3",28,8.575,2540.74074074074,1456.1,122.331851851852
"M-50","ACC PLANT","192M3",28,8.505,2520,1367.9,122.331851851852
"M-50","ACC PLANT","192M3",28,8.425,2496.2962962963,1304.7,122.331851851852
"M-50","ACC PLANT","192M3",7,8.395,2487.40740740741,998.2,114.604444444444
"M-50","ACC PLANT","192M3",7,8.47,2509.62962962963,1376.6,114.604444444444
"M-50","ACC PLANT","192M3",7,8.475,2511.11111111111,1493.1,114.604444444444
"M-50","ACC PLANT","192M3",28,8.46,2506.66666666667,1602.6,132.66962962963
"M-50","ACC PLANT","192M3",28,8.49,2515.55555555556,1429.7,132.66962962963
"M-50","ACC PLANT","192M3",28,8.485,2514.07407407407,1445.3,132.66962962963
"M-50","ACC PLANT","192M3",7,8.43,2497.77777777778,548.8,73.4340740740741
"M-50","ACC PLANT","192M3",7,8.42,2494.81481481481,960.7,73.4340740740741
"M-50","ACC PLANT","192M3",7,8.495,2517.03703703704,968.9,73.4340740740741
"M-50","ACC PLANT","192M3",28,8.447,2502.81481481481,1302,122.53037037037
"M-50","ACC PLANT","192M3",28,8.8585,2624.74074074074,1258.2,122.53037037037
"M-50","ACC PLANT","192M3",28,8.585,2543.7037037037,1564.9,122.53037037037
"M-50","ACC PLANT","36M3",7,8.41,2491.85185185185,1312.3,121.137777777778
"M-50","ACC PLANT","36M3",7,8.21,2432.59259259259,1263.9,121.137777777778
"M-50","ACC PLANT","36M3",7,8.13,2408.88888888889,1512.2,121.137777777778
"M-50","ACC PLANT","36M3",28,8.55,2533.33333333333,1651.6,146.376296296296
"M-50","ACC PLANT","36M3",28,8.56,2536.2962962963,1715.7,146.376296296296
"M-50","ACC PLANT","36M3",28,8.535,2528.88888888889,1572.9,146.376296296296
"M-50","ACC PLANT","36M3",7,8.65,2562.96296296296,1111.2,94.9866666666667
"M-50","ACC PLANT","36M3",7,8.43,2497.77777777778,942.4,94.9866666666667
"M-50","ACC PLANT","36M3",7,8.71,2580.74074074074,1152.2,94.9866666666667
"M-50","ACC PLANT","36M3",28,8.63,2557.03703703704,1130.9,118.515555555556
"M-50","ACC PLANT","36M3",28,8.665,2567.40740740741,1454.9,118.515555555556
"M-50","ACC PLANT","36M3",28,8.65,2562.96296296296,1414.1,118.515555555556
"M-50","ACC PLANT","36M3",7,8.34,2471.11111111111,1189,111.14962962963
"M-50","ACC PLANT","36M3",7,8.39,2485.92592592593,1371.1,111.14962962963
"M-50","ACC PLANT","36M3",7,8.395,2487.40740740741,1191.2,111.14962962963
"M-50","ACC PLANT","36M3",28,8.49,2515.55555555556,1511.6,136.245925925926
"M-50","ACC PLANT","36M3",28,8.435,2499.25925925926,1543.6,136.245925925926
"M-50","ACC PLANT","36M3",28,8.45,2503.7037037037,1543.1,136.245925925926
"M-50","ACC PLANT","36M3",7,8.435,2499.25925925926,1188.7,91.36
"M-50","ACC PLANT","36M3",7,8.53,2527.40740740741,1012,91.36
"M-50","ACC PLANT","36M3",7,8.42,2494.81481481481,882.7,91.36
"M-50","ACC PLANT","36M3",28,8.53,2527.40740740741,1179.8,101.004444444444
"M-50","ACC PLANT","36M3",28,8.475,2511.11111111111,884.5,101.004444444444
"M-50","ACC PLANT","36M3",28,8.525,2525.92592592593,1344.6,101.004444444444
"M-50","ACC PLANT","8.5",7,8.47,2509.62962962963,1078.9,85.2148148148148
"M-50","ACC PLANT","8.5",7,8.52,2524.44444444444,911.2,85.2148148148148
"M-50","ACC PLANT","8.5",7,8.54,2530.37037037037,885.9,85.2148148148148
"M-50","ACC PLANT","8.5",28,8.51,2521.48148148148,1379.5,116.773333333333
"M-50","ACC PLANT","8.5",28,8.4,2488.88888888889,1225.2,116.773333333333
"M-50","ACC PLANT","8.5",28,8.53,2527.40740740741,1336.4,116.773333333333
"M-50","ACC PLANT","83M3",7,8.675,2570.37037037037,890.1,84.2962962962963
"M-50","ACC PLANT","83M3",7,8.61,2551.11111111111,950.2,84.2962962962963
"M-50","ACC PLANT","83M3",7,8.63,2557.03703703704,1004.7,84.2962962962963
"M-50","ACC PLANT","83M3",28,8.81,2610.37037037037,1080.3,99.9792592592593
"M-50","ACC PLANT","83M3",28,8.675,2570.37037037037,1112.6,99.9792592592593
"M-50","ACC PLANT","83M3",28,8.66,2565.92592592593,1181.4,99.9792592592593
